1 0:0.001571350973849616 1:2960.0 2:8000.0 3:0.37 4:0.19869175660076588 5:0.28837815626151275 6:0.09672271055822115 7:1.0 8:0.66 9:0.8 10:0.0002 11:0.0 12:1.0
3 0:0.0008070804207761652 1:8743.0 2:8000.0 3:1.092875 4:0.22307215643073533 5:0.28837815626151275 6:0.05128394715760419 7:1.0 8:0.54 9:0.6 10:0.5922 11:0.6929 12:1.0
4 0:0.0021995541843196883 1:14100.0 2:8000.0 3:1.7625 4:0.10078880464037815 5:0.28837815626151275 6:0.42314736707469464 7:1.0 8:0.57 9:0.6 10:0.5687 11:0.5983 12:1.0
2 0:0.000800561101232014 1:31756.0 2:8000.0 3:3.9695 4:0.22277989709013485 5:0.28837815626151275 6:0.05174398912815996 7:1.0 8:0.55 9:0.6 10:0.5922 11:0.6196 12:1.0
3 0:0.001571350973849616 1:8000.0 2:2960.0 3:2.7027027027027026 4:0.28837815626151275 5:0.19869175660076588 6:0.20374805977156982 7:1.0 8:0.66 9:0.8 10:0.0002 11:0.0 12:1.0
1 0:0.005064403487269616 1:8743.0 2:2960.0 3:2.953716216216216 4:0.22307215643073533 5:0.19869175660076588 6:0.015056427893601388 7:0.8333 8:0.61 9:0.7 10:0.5922 11:0.6929 12:0.1
4 0:0.0368522478287268 1:14100.0 2:2960.0 3:4.763513513513513 4:0.10078880464037815 5:0.19869175660076588 6:0.24279060370309513 7:0.7 8:0.5 9:0.7 10:0.5687 11:0.5983 12:0.0
2 0:0.009255016128887331 1:31756.0 2:2960.0 3:10.728378378378379 4:0.22277989709013485 5:0.19869175660076588 6:0.014697614502998346 7:1.0 8:0.69 9:0.8 10:0.5922 11:0.6196 12:0.1
3 0:0.0008070804207761652 1:8000.0 2:8743.0 3:0.9150177284684891 4:0.28837815626151275 5:0.22307215643073533 6:0.08570683042728547 7:1.0 8:0.54 9:0.6 10:0.5922 11:0.6929 12:1.0
1 0:0.005064403487269616 1:2960.0 2:8743.0 3:0.33855655953334096 4:0.19869175660076588 5:0.22307215643073533 6:0.011945130974706912 7:0.8333 8:0.61 9:0.7 10:0.5922 11:0.6929 12:0.1
4 0:0.010094891984655765 1:14100.0 2:8743.0 3:1.612718746425712 4:0.10078880464037815 5:0.22307215643073533 6:0.3004996270024542 7:0.8333 8:0.52 9:0.5 10:0.195 11:0.5516 12:0.1
2 0:0.0026572121102630113 1:31756.0 2:8743.0 3:3.6321628731556674 4:0.22277989709013485 5:0.22307215643073533 6:1.716508937210953e-06 7:1.0 8:0.59 9:0.5 10:0.2871 11:0.5247 12:0.0
2 0:0.0021995541843196883 1:8000.0 2:14100.0 3:0.5673758865248227 4:0.28837815626151275 5:0.10078880464037815 6:3.4641108091479804 7:1.0 8:0.57 9:0.6 10:0.5687 11:0.5983 12:1.0
4 0:0.0368522478287268 1:2960.0 2:14100.0 3:0.2099290780141844 4:0.19869175660076588 5:0.10078880464037815 6:0.9435544879210849 7:0.7 8:0.5 9:0.7 10:0.5687 11:0.5983 12:0.0
1 0:0.010094891984655765 1:8743.0 2:14100.0 3:0.6200709219858156 4:0.22307215643073533 5:0.10078880464037815 6:1.472007692343566 7:0.8333 8:0.52 9:0.5 10:0.195 11:0.5516 12:0.1
3 0:0.017633585391107903 1:31756.0 2:14100.0 3:2.252198581560284 4:0.22277989709013485 5:0.10078880464037815 6:1.4649798526756403 7:1.0 8:0.7 9:0.6 10:0.3433 11:0.5183 12:0.1
2 0:0.000800561101232014 1:8000.0 2:31756.0 3:0.25192089683839275 4:0.28837815626151275 5:0.22277989709013485 6:0.0867027017340999 7:1.0 8:0.55 9:0.6 10:0.5922 11:0.6196 12:1.0
4 0:0.009255016128887331 1:2960.0 2:31756.0 3:0.09321073183020531 4:0.19869175660076588 5:0.22277989709013485 6:0.011691077862263585 7:1.0 8:0.69 9:0.8 10:0.5922 11:0.6196 12:0.1
1 0:0.0026572121102630113 1:8743.0 2:31756.0 3:0.27531805013225846 4:0.22307215643073533 5:0.22277989709013485 6:1.7210155811048955e-06 7:1.0 8:0.59 9:0.5 10:0.2871 11:0.5247 12:0.0
3 0:0.017633585391107903 1:14100.0 2:31756.0 3:0.4440105806776672 4:0.10078880464037815 5:0.22277989709013485 6:0.29985013107201713 7:1.0 8:0.7 9:0.6 10:0.3433 11:0.5183 12:0.1
